smiles,CYP1A2_IC50_PIC50,source,CYP1A2_Ki_PIC50,CYP2C9_IC50_PIC50,CYP2C9_Ki_PIC50,CYP2C19_IC50_PIC50,CYP2C19_Ki_PIC50,CYP2D6_IC50_PIC50,CYP2D6_Ki_PIC50,CYP3A4_IC50_PIC50,CYP3A4_Ki_PIC50,CYP2B6_IC50_PIC50,CYP2B6_Ki_PIC50
C/C=C1\CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)C4=NN(c5ccccc5)[C@H](c5ccc(OC)cc5)[C@H]4C[C@@H]32)C1,5.49,chembl_CYP1A2_IC50,,,,,,,,,,,
C/C=C1\CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)C4=NN(c5ccccc5)[C@H](c5ccccc5)[C@H]4C[C@@H]32)C1,5.48,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=C(CCCn2ccnc2)c2cccnc2CC1,6.66,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=C(CCn2ccnc2)c2cccnc2CC1,6.3,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=C(Cn2ccnc2)c2cccnc2CC1,6.77,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=C(c2cccnc2)CCc2ccccc21,6.890042794957001,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1C(CCCCc1ccccc1)c1ccccc1,4.6,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1C(CCc1ccccc1)c1ccccc1,5.35,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1C(c1ccccc1)c1ccccc1,4.6,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1CC(CCc1ccccc1)c1ccccc1,5.26,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1CC(Cc1ccccc1)c1ccccc1,3.8259999988944307,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1CC(c1ccccc1)c1ccccc1,4.31,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1CCC(Cc1ccccc1)c1ccccc1,5.12,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1CCC(c1ccccc1)c1ccccc1,4.82,chembl_CYP1A2_IC50,,,,,,,,,,,
